epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7790.5,1.16543,0.55413,1.20078,0.98396,0.95342,0.98353,0.70841,1.08459,0.38166,1.13486,0.005842,0.005842,0.005842
44,7925.41,1.16812,0.55362,1.20386,0.98578,0.95338,0.98384,0.70851,1.08445,0.38147,1.13429,0.005743,0.005743,0.005743
45,8060.29,1.16636,0.55174,1.1999,0.98692,0.95278,0.98395,0.71007,1.08355,0.37995,1.13335,0.005644,0.005644,0.005644
46,8195.02,1.16084,0.54974,1.1962,0.98815,0.9524,0.9841,0.70919,1.08408,0.37892,1.13288,0.005545,0.005545,0.005545
47,8329.85,1.16006,0.54698,1.19888,0.98791,0.95338,0.98475,0.71002,1.08326,0.3773,1.13235,0.005446,0.005446,0.005446
48,8464.92,1.16428,0.55039,1.19683,0.9894,0.95227,0.98416,0.70951,1.08369,0.3769,1.13165,0.005347,0.005347,0.005347
49,8599.98,1.15742,0.54141,1.19305,0.98823,0.95338,0.98437,0.71027,1.08432,0.37745,1.13195,0.005248,0.005248,0.005248
50,8735.42,1.15257,0.54049,1.1911,0.98842,0.95373,0.98435,0.70928,1.08486,0.37687,1.1325,0.005149,0.005149,0.005149
51,8870.62,1.14278,0.5396,1.18771,0.98842,0.95308,0.98476,0.70938,1.08461,0.37587,1.13225,0.00505,0.00505,0.00505
52,9005.82,1.1445,0.53401,1.18839,0.98851,0.95289,0.98483,0.70964,1.08459,0.37563,1.13225,0.004951,0.004951,0.004951
53,9140.99,1.13869,0.5345,1.18514,0.98941,0.95287,0.98465,0.7097,1.08412,0.37522,1.13244,0.004852,0.004852,0.004852
54,9275.74,1.13361,0.52987,1.186,0.98856,0.95289,0.98465,0.70894,1.08428,0.37492,1.13269,0.004753,0.004753,0.004753
55,9411.1,1.13329,0.52804,1.18317,0.98866,0.95338,0.98487,0.70888,1.08477,0.37504,1.13256,0.004654,0.004654,0.004654
56,9546.01,1.12986,0.52128,1.18112,0.98889,0.95386,0.98465,0.70864,1.08455,0.37517,1.1325,0.004555,0.004555,0.004555
57,9681.04,1.12813,0.5223,1.1781,0.98837,0.95386,0.98455,0.70863,1.08463,0.3742,1.13249,0.004456,0.004456,0.004456
58,9816,1.12436,0.51719,1.17611,0.98884,0.95435,0.98468,0.70883,1.08449,0.3741,1.13255,0.004357,0.004357,0.004357
59,9951.13,1.12403,0.52109,1.17702,0.98893,0.95455,0.98466,0.70909,1.08435,0.37358,1.13259,0.004258,0.004258,0.004258
60,10085.9,1.11546,0.51765,1.17187,0.98795,0.95528,0.98494,0.70907,1.08443,0.37348,1.13278,0.004159,0.004159,0.004159
61,10221.6,1.11365,0.5129,1.17339,0.98847,0.95483,0.985,0.70878,1.08413,0.37271,1.13282,0.00406,0.00406,0.00406
62,10356.7,1.10824,0.51348,1.17337,0.98857,0.95483,0.98506,0.70938,1.08415,0.37256,1.13264,0.003961,0.003961,0.003961
63,10492.2,1.10587,0.51258,1.17005,0.98808,0.95483,0.98509,0.70919,1.08405,0.37233,1.13252,0.003862,0.003862,0.003862
64,10627.1,1.1157,0.51105,1.17191,0.98844,0.95485,0.98508,0.71018,1.08408,0.37227,1.13254,0.003763,0.003763,0.003763
65,10762.4,1.10343,0.50261,1.16649,0.98595,0.95629,0.98509,0.71007,1.08408,0.37153,1.13273,0.003664,0.003664,0.003664
66,10897.3,1.09401,0.49996,1.16229,0.98402,0.95727,0.98513,0.70979,1.08385,0.37134,1.13276,0.003565,0.003565,0.003565
67,11033,1.08917,0.49628,1.15948,0.98402,0.95728,0.98518,0.71015,1.08396,0.37107,1.13264,0.003466,0.003466,0.003466
